Date,Consommation (MW),ds,y
2017-06-01,47844.145833333336,2017-06-01,47844.145833333336
2017-06-02,47425.5,2017-06-02,47425.5
2017-06-03,41542.791666666664,2017-06-03,41542.791666666664
2017-06-04,37920.854166666664,2017-06-04,37920.854166666664
2017-06-05,39629.4375,2017-06-05,39629.4375
2017-06-06,46152.1875,2017-06-06,46152.1875
2017-06-07,46896.5,2017-06-07,46896.5
2017-06-08,47343.875,2017-06-08,47343.875
2017-06-09,46957.833333333336,2017-06-09,46957.833333333336
2017-06-10,41723.9375,2017-06-10,41723.9375
2017-06-11,39282.458333333336,2017-06-11,39282.458333333336
2017-06-12,46663.333333333336,2017-06-12,46663.333333333336
2017-06-13,48279.104166666664,2017-06-13,48279.104166666664
2017-06-14,48750.104166666664,2017-06-14,48750.104166666664
2017-06-15,49269.354166666664,2017-06-15,49269.354166666664
2017-06-16,48253.791666666664,2017-06-16,48253.791666666664
2017-06-17,42779.229166666664,2017-06-17,42779.229166666664
2017-06-18,40348.479166666664,2017-06-18,40348.479166666664
2017-06-19,48849.229166666664,2017-06-19,48849.229166666664
2017-06-20,50852.916666666664,2017-06-20,50852.916666666664
2017-06-21,51487.979166666664,2017-06-21,51487.979166666664
2017-06-22,51796.854166666664,2017-06-22,51796.854166666664
2017-06-23,49700.020833333336,2017-06-23,49700.020833333336
2017-06-24,43420.75,2017-06-24,43420.75
2017-06-25,40170.166666666664,2017-06-25,40170.166666666664
2017-06-26,47742.791666666664,2017-06-26,47742.791666666664
2017-06-27,48962.479166666664,2017-06-27,48962.479166666664
2017-06-28,47818.666666666664,2017-06-28,47818.666666666664
2017-06-29,47079.041666666664,2017-06-29,47079.041666666664
2017-06-30,46564.854166666664,2017-06-30,46564.854166666664
2017-07-01,41625.666666666664,2017-07-01,41625.666666666664
2017-07-02,39102.270833333336,2017-07-02,39102.270833333336
2017-07-03,46445.5,2017-07-03,46445.5
2017-07-04,48106.041666666664,2017-07-04,48106.041666666664
2017-07-05,48924.875,2017-07-05,48924.875
2017-07-06,49672.208333333336,2017-07-06,49672.208333333336
2017-07-07,49747.145833333336,2017-07-07,49747.145833333336
2017-07-08,43906.541666666664,2017-07-08,43906.541666666664
2017-07-09,40265.0,2017-07-09,40265.0
2017-07-10,47012.541666666664,2017-07-10,47012.541666666664
2017-07-11,48000.666666666664,2017-07-11,48000.666666666664
2017-07-12,48654.583333333336,2017-07-12,48654.583333333336
2017-07-13,47947.083333333336,2017-07-13,47947.083333333336
2017-07-14,41484.458333333336,2017-07-14,41484.458333333336
