Date,Code INSEE région,mois,jour,journée,weekend,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,Date
2021-08-17,49.916666666666664,8.0,17.0,1.0,0.0,41677.79166666667,4381.539930555556,947.8923611111111,908.390625,44.654513888888886,3388.9930555555557,233.16666666666666,167.26736111111111,457.51215277777777,-38.404513888888886,89.94618055555556,37.796875,-869.1284722222222,1.4020486111111112,2021-08-17
2021-08-18,49.916666666666664,8.0,18.0,2.0,0.0,42035.666666666664,4366.960069444444,865.859375,863.9878472222222,66.73263888888889,3434.3680555555557,171.28125,140.66666666666666,463.74305555555554,-33.295138888888886,90.16840277777777,36.697916666666664,-826.828125,1.9063368055555554,2021-08-18
2021-08-19,49.916666666666664,8.0,19.0,3.0,0.0,42231.3125,4422.758680555556,835.4513888888889,903.4826388888889,126.95138888888889,3460.355902777778,113.36979166666667,148.63541666666666,483.5607638888889,-19.30034722222222,89.88541666666667,37.94618055555556,-882.9513888888889,3.994635416666666,2021-08-19
2021-08-20,49.916666666666664,8.0,20.0,4.0,0.0,42444.5625,4480.723958333333,833.5381944444445,943.6770833333334,188.421875,3458.7638888888887,41.171875,217.75520833333334,485.99652777777777,-21.368055555555557,88.61458333333333,38.029513888888886,-922.1440972222222,6.109930555555556,2021-08-20
2021-08-21,49.916666666666664,8.0,21.0,5.0,1.0,39482.833333333336,4206.171875,791.734375,915.9357638888889,159.80381944444446,3254.6336805555557,113.40972222222223,189.99652777777777,400.2291666666667,-19.55034722222222,88.09895833333333,35.645833333333336,-896.1979166666666,5.681440972222223,2021-08-21
2021-08-22,49.916666666666664,8.0,22.0,6.0,1.0,37494.5,4243.689236111111,881.5086805555555,1119.1475694444443,95.44965277777777,3266.730902777778,285.77430555555554,160.56423611111111,347.4982638888889,-70.62326388888889,87.671875,35.692708333333336,-1047.501736111111,3.343611111111111,2021-08-22
2021-08-23,49.916666666666664,8.0,23.0,0.0,0.0,42711.145833333336,4530.701388888889,1007.4357638888889,971.4392361111111,110.703125,3412.5625,261.15277777777777,193.76215277777777,465.9236111111111,-30.32638888888889,86.59722222222223,37.104166666666664,-940.3211805555555,2.956875,2021-08-23
2021-08-24,49.916666666666664,8.0,24.0,1.0,0.0,43469.1875,4650.5,1151.484375,1028.0677083333333,103.58159722222223,3395.434027777778,459.6927083333333,181.96006944444446,423.21527777777777,-43.864583333333336,86.61631944444444,36.97569444444444,-983.4513888888889,2.7244618055555554,2021-08-24
2021-08-25,49.916666666666664,8.0,25.0,2.0,0.0,43833.0625,4576.590277777777,1055.298611111111,923.8350694444445,107.73784722222223,3413.5538194444443,323.11284722222223,222.33854166666666,419.4166666666667,-38.208333333333336,90.43055555555556,37.204861111111114,-884.6909722222222,2.776614583333333,2021-08-25
2021-08-26,49.916666666666664,8.0,26.0,3.0,0.0,44505.770833333336,4566.024305555556,986.6076388888889,857.2100694444445,114.81076388888889,3464.605902777778,248.55381944444446,211.671875,436.00347222222223,-40.26909722222222,90.37847222222223,37.59375,-816.0989583333334,2.8855555555555554,2021-08-26
2021-08-27,49.916666666666664,8.0,27.0,4.0,0.0,43960.5,4542.934027777777,970.2829861111111,879.5590277777778,124.33680555555556,3448.3142361111113,246.27777777777777,206.23090277777777,426.76909722222223,-22.135416666666668,91.00520833333333,37.375,-856.5798611111111,3.0965104166666664,2021-08-27
2021-08-28,49.916666666666664,8.0,28.0,5.0,1.0,39677.16666666667,4387.027777777777,984.9253472222222,1080.5972222222222,55.713541666666664,3346.3888888888887,308.99305555555554,212.99131944444446,370.6875,-50.407986111111114,92.25347222222223,36.432291666666664,-1029.1614583333333,1.733298611111111,2021-08-28
2021-08-29,49.916666666666664,8.0,29.0,6.0,1.0,37978.02083333333,4268.993055555556,864.0677083333334,1104.157986111111,54.520833333333336,3350.4045138888887,258.38368055555554,192.02083333333334,320.09722222222223,-73.84375,93.56597222222223,36.552083333333336,-1029.3680555555557,1.7866319444444443,2021-08-29
2021-08-30,49.916666666666664,8.0,30.0,0.0,0.0,44257.916666666664,4667.006944444444,997.9982638888889,978.8472222222222,137.90972222222223,3531.0989583333335,272.5572916666667,183.16145833333334,450.6145833333333,-22.94965277777778,91.66493055555556,38.173611111111114,-953.2586805555555,3.289322916666667,2021-08-30
2021-08-31,49.916666666666664,8.0,31.0,1.0,0.0,45638.5625,4802.178819444444,1019.2552083333334,998.9652777777778,190.15625,3592.7673611111113,299.7708333333333,199.92881944444446,430.25347222222223,-24.041666666666668,89.30208333333333,38.74305555555556,-974.5972222222222,5.070208333333333,2021-08-31
2021-09-01,49.916666666666664,9.0,1.0,2.0,0.0,46422.83333333333,4968.663194444444,1189.734375,1100.09375,193.48263888888889,3585.4461805555557,459.34375,213.24652777777777,423.7326388888889,-30.229166666666668,93.41145833333333,38.767361111111114,-1069.7708333333333,5.550520833333334,2021-09-01
2021-09-02,49.916666666666664,9.0,2.0,3.0,0.0,46433.89583333333,4873.866319444444,1083.828125,1004.375,186.4375,3603.6006944444443,397.4947916666667,156.49479166666666,435.41319444444446,-33.75694444444444,94.42534722222223,38.96527777777778,-970.4965277777778,5.354791666666667,2021-09-02
2021-09-03,49.916666666666664,9.0,3.0,4.0,0.0,45946.1875,4610.060763888889,808.0138888888889,781.2118055555555,199.296875,3602.75,131.13715277777777,144.31076388888889,435.8454861111111,-30.97222222222222,96.72048611111111,38.704861111111114,-750.0815972222222,5.840381944444444,2021-09-03
2021-09-04,49.916666666666664,9.0,4.0,5.0,1.0,41106.208333333336,4231.498263888889,683.4392361111111,805.9809027777778,155.28645833333334,3392.7725694444443,54.90625,183.66493055555554,348.11631944444446,-32.432291666666664,96.75173611111111,37.04340277777778,-773.4253472222222,5.290520833333334,2021-09-04
2021-09-05,49.916666666666664,9.0,5.0,6.0,1.0,39339.85416666667,4135.369791666667,667.6822916666666,857.0486111111111,132.09895833333334,3335.5885416666665,38.06597222222222,220.48090277777777,312.73784722222223,-56.48090277777778,96.39756944444444,35.71875,-800.46875,5.10921875,2021-09-05
2021-09-06,49.916666666666664,9.0,6.0,0.0,0.0,46007.770833333336,4633.819444444444,798.9045138888889,799.8385416666666,308.79340277777777,3526.121527777778,113.69270833333333,222.12673611111111,369.0989583333333,-30.645833333333332,93.98611111111111,37.421875,-769.0920138888889,8.500069444444444,2021-09-06
2021-09-07,49.916666666666664,9.0,7.0,1.0,0.0,47206.0625,4876.517361111111,975.6059027777778,942.6788194444445,291.4670138888889,3609.4444444444443,308.4236111111111,200.57465277777777,370.609375,-28.336805555555557,95.99826388888889,38.140625,-914.2604166666666,7.901111111111111,2021-09-07
2021-09-08,49.916666666666664,9.0,8.0,2.0,0.0,47180.979166666664,4794.854166666667,967.2152777777778,863.1059027777778,263.16493055555554,3564.4739583333335,318.57465277777777,164.96875,387.75,-33.744791666666664,95.921875,37.55902777777778,-829.234375,7.296388888888889,2021-09-08
2021-09-09,49.916666666666664,9.0,9.0,3.0,0.0,46892.91666666667,4697.690972222223,775.3368055555555,789.9479166666666,406.8732638888889,3515.480902777778,200.59895833333334,106.77430555555556,372.81597222222223,-30.19965277777778,95.14756944444444,37.28819444444444,-759.7152777777778,10.19154513888889,2021-09-09
2021-09-10,49.916666666666664,9.0,10.0,4.0,0.0,45994.41666666667,4676.703125,830.4270833333334,843.8350694444445,414.8107638888889,3431.465277777778,162.01388888888889,132.953125,439.15972222222223,-16.69965277777778,96.30034722222223,36.640625,-826.9947916666666,10.776979166666667,2021-09-10
2021-09-11,49.916666666666664,9.0,11.0,5.0,1.0,40723.166666666664,4235.444444444444,757.1475694444445,841.8472222222222,234.79340277777777,3243.503472222222,98.53645833333333,195.79861111111111,365.94965277777777,-56.76215277777778,96.86284722222223,34.901041666666664,-784.8020833333334,6.885815972222222,2021-09-11
2021-09-12,49.916666666666664,9.0,12.0,6.0,1.0,38726.89583333333,4031.5138888888887,636.7638888888889,804.2725694444445,101.80555555555556,3292.9444444444443,51.96180555555556,213.90972222222223,276.43055555555554,-102.28819444444444,94.46180555555556,35.23090277777778,-701.7847222222222,3.7815277777777774,2021-09-12
2021-09-13,49.916666666666664,9.0,13.0,0.0,0.0,45210.0,4594.623263888889,827.03125,827.1232638888889,341.9739583333333,3425.6180555555557,145.07291666666666,182.33680555555554,408.68055555555554,-35.33680555555556,90.94097222222223,36.552083333333336,-791.5486111111111,8.65644097222222,2021-09-13
2021-09-14,49.916666666666664,9.0,14.0,1.0,0.0,46685.75,4577.756944444444,854.2309027777778,687.2777777777778,350.69618055555554,3372.8298611111113,205.00694444444446,109.34027777777777,450.02256944444446,-11.67361111111111,89.86111111111111,35.98784722222222,-675.421875,8.625503472222222,2021-09-14
2021-09-15,49.916666666666664,9.0,15.0,2.0,0.0,46798.166666666664,4473.586805555556,765.1927083333334,573.7395833333334,314.0833333333333,3394.3107638888887,147.83333333333334,109.30555555555556,416.5486111111111,-29.383680555555557,91.50520833333333,36.22743055555556,-544.21875,7.726944444444445,2021-09-15
2021-09-16,49.916666666666664,9.0,16.0,3.0,0.0,46331.89583333333,4455.607638888889,704.9878472222222,594.6163194444445,295.796875,3454.8229166666665,53.64409722222222,112.60763888888889,444.2552083333333,-33.05555555555556,94.48090277777777,36.854166666666664,-561.4704861111111,7.2450173611111115,2021-09-16
2021-09-17,49.916666666666664,9.0,17.0,4.0,0.0,45484.479166666664,4473.685763888889,812.8055555555555,683.3125,296.10069444444446,3364.7795138888887,57.279513888888886,181.90451388888889,480.0052083333333,-38.592013888888886,93.61631944444444,35.74305555555556,-644.5920138888889,7.431354166666667,2021-09-17
2021-09-18,49.916666666666664,9.0,18.0,5.0,1.0,40720.79166666667,3967.284722222222,765.4288194444445,573.8854166666666,155.28993055555554,3046.565972222222,120.47048611111111,131.98611111111111,419.4704861111111,-64.99131944444444,93.50173611111111,33.03819444444444,-508.68055555555554,4.983072916666667,2021-09-18
2021-09-19,49.916666666666664,9.0,19.0,6.0,1.0,38638.729166666664,3932.5451388888887,809.3333333333334,712.6510416666666,100.02430555555556,3023.1875,234.28819444444446,132.33159722222223,351.02430555555554,-92.921875,91.68923611111111,32.807291666666664,-619.4565972222222,3.70265625,2021-09-19
2021-09-20,49.916666666666664,9.0,20.0,0.0,0.0,44867.25,4466.258680555556,842.96875,727.3211805555555,371.1423611111111,3252.1475694444443,169.28993055555554,133.33159722222223,451.546875,-43.482638888888886,88.80034722222223,35.001736111111114,-683.7725694444445,9.765208333333334,2021-09-20
2021-09-21,49.916666666666664,9.0,21.0,1.0,0.0,45931.97916666667,4574.274305555556,886.5815972222222,746.609375,289.25694444444446,3398.4357638888887,210.31423611111111,157.31597222222223,435.29340277777777,-28.35590277777778,83.65798611111111,36.234375,-718.2552083333334,7.702812499999999,2021-09-21
2021-09-22,49.916666666666664,9.0,22.0,2.0,0.0,46088.020833333336,4552.138888888889,886.9548611111111,711.4704861111111,277.77430555555554,3387.409722222222,129.640625,204.45659722222223,467.3802083333333,-43.38368055555556,85.47743055555556,36.251736111111114,-668.0260416666666,7.492274305555556,2021-09-22
2021-09-23,49.916666666666664,9.0,23.0,3.0,0.0,46220.958333333336,4284.286458333333,761.9322916666666,432.53993055555554,198.44444444444446,3323.909722222222,90.38715277777777,204.99479166666666,377.08680555555554,-34.848958333333336,89.46354166666667,35.685763888888886,-397.64930555555554,5.947881944444444,2021-09-23
2021-09-24,49.916666666666664,9.0,24.0,4.0,0.0,45682.3125,4174.208333333333,714.1510416666666,367.3489583333333,215.45833333333334,3244.5989583333335,60.84722222222222,188.17881944444446,376.5295138888889,-40.90972222222222,88.59548611111111,34.78819444444444,-326.31597222222223,6.223524305555555,2021-09-24
2021-09-25,49.916666666666664,9.0,25.0,5.0,1.0,41155.125,4003.652777777778,668.6197916666666,574.0590277777778,231.58333333333334,3103.449652777778,109.31944444444444,130.97569444444446,336.96006944444446,-83.49479166666667,91.36458333333333,30.10763888888889,-483.48090277777777,7.788315972222222,2021-09-25
2021-09-26,49.916666666666664,9.0,26.0,6.0,1.0,38602.22916666667,3934.8854166666665,750.9392361111111,718.0329861111111,118.33333333333333,3065.612847222222,209.73263888888889,125.75520833333333,328.97743055555554,-96.31423611111111,86.47395833333333,29.88715277777778,-612.9826388888889,4.092899305555556,2021-09-26
2021-09-27,49.916666666666664,9.0,27.0,0.0,0.0,45201.020833333336,4440.678819444444,994.1059027777778,673.9270833333334,259.5486111111111,3187.0243055555557,444.36631944444446,123.25347222222223,340.49652777777777,-74.27604166666667,85.98958333333333,30.868055555555557,-591.2048611111111,6.615607638888889,2021-09-27
2021-09-28,49.916666666666664,9.0,28.0,1.0,0.0,46700.583333333336,4398.71875,809.4635416666666,507.00347222222223,311.6510416666667,3277.6041666666665,185.41666666666666,141.80729166666666,395.52777777777777,-29.993055555555557,86.71180555555556,31.696180555555557,-468.97569444444446,7.607864583333334,2021-09-28
2021-09-29,49.916666666666664,9.0,29.0,2.0,0.0,46909.916666666664,4511.241319444444,1083.7934027777778,602.0815972222222,117.36111111111111,3310.0868055555557,510.91319444444446,155.83159722222223,330.35590277777777,-54.395833333333336,86.69270833333333,31.911458333333332,-539.8402777777778,3.3911631944444443,2021-09-29
2021-09-30,49.916666666666664,9.0,30.0,3.0,0.0,47482.875,4383.602430555556,870.6493055555555,426.69618055555554,144.71180555555554,3368.2413194444443,222.14756944444446,195.36979166666666,365.7638888888889,-38.40972222222222,87.36805555555556,32.967013888888886,-380.7204861111111,3.830763888888889,2021-09-30
2021-10-01,49.916666666666664,10.0,1.0,4.0,0.0,47705.854166666664,4486.571180555556,1000.3628472222222,511.0833333333333,88.47395833333333,3397.734375,453.5416666666667,145.22222222222223,313.5260416666667,-65.98263888888889,88.07291666666667,33.265625,-437.4704861111111,2.7289062499999996,2021-10-01
2021-10-02,49.916666666666664,10.0,2.0,5.0,1.0,42954.979166666664,4355.307291666667,1159.3680555555557,775.7256944444445,67.48958333333333,3128.449652777778,685.2534722222222,130.06944444444446,253.52604166666666,-120.12847222222223,90.51909722222223,32.416666666666664,-653.4409722222222,2.234236111111111,2021-10-02
2021-10-03,49.916666666666664,10.0,3.0,6.0,1.0,40964.70833333333,4039.3125,1073.717013888889,625.5868055555555,60.177083333333336,2905.418402777778,647.9166666666666,60.55555555555556,278.0954861111111,-142.55555555555554,87.14930555555556,30.97048611111111,-482.1579861111111,1.7913194444444445,2021-10-03
2021-10-04,49.916666666666664,10.0,4.0,0.0,0.0,47268.604166666664,4713.489583333333,1108.2708333333333,774.4392361111111,307.29340277777777,3297.925347222222,434.59722222222223,114.94444444444444,474.19097222222223,-62.50694444444444,84.53819444444444,35.026041666666664,-711.8159722222222,7.785659722222222,2021-10-04
2021-10-05,49.916666666666664,10.0,5.0,1.0,0.0,48914.958333333336,4904.628472222223,1468.3194444444443,828.3819444444445,200.50868055555554,3235.800347222222,752.7048611111111,97.82465277777777,532.4392361111111,-40.3125,85.35069444444444,34.88194444444444,-787.8263888888889,5.632743055555555,2021-10-05
2021-10-06,49.916666666666664,10.0,6.0,2.0,0.0,49847.875,4959.072916666667,1411.5,805.0833333333334,231.24652777777777,3316.3263888888887,594.734375,164.59548611111111,567.5625,-47.89756944444444,84.60763888888889,35.546875,-757.0555555555555,6.076145833333333,2021-10-06
