,Date,Consommation_MW,Production_MW,Production_verte_MW,Differentiel_MW,Thermique_MW,Nucléaire_MW,Eolien_MW,Solaire_MW,Hydraulique_MW,Pompage_MW,Bioénergies_MW,Ech_physiques_MW,Stockage_batterie_MW,Déstockage_batterie_MW,mois,jour,date,temperature
233,2021-10-20,49926.0625,59290.833333333336,17471.395833333332,9364.770833333334,901.375,40918.0625,11819.395833333334,944.0,3621.4791666666665,-1085.9166666666667,1086.5208333333333,433.5,-8267.625,22.29875,10,20,2021-10-20,16.66625
234,2021-10-21,50623.375,58426.4375,15371.729166666666,7803.0625,2686.6041666666665,40368.104166666664,9324.1875,1329.5,3659.3541666666665,-740.5,1058.6875,425.0,-7054.291666666667,65.66562499999999,10,21,2021-10-21,13.79541666666667
235,2021-10-22,52438.333333333336,56047.729166666664,10466.333333333334,3609.3958333333335,5299.395833333333,40282.0,2873.75,1605.7916666666667,4885.9375,-520.8958333333334,1100.8541666666667,420.8125,-3087.125,125.07270833333332,10,22,2021-10-22,10.350625000000003
236,2021-10-23,48250.291666666664,52313.208333333336,8646.416666666666,4062.9166666666665,5169.8125,38496.979166666664,1612.1041666666667,2025.625,3888.8541666666665,-517.7708333333334,1119.8333333333333,401.5416666666667,-3543.6458333333335,136.3475,10,23,2021-10-23,10.245312500000002
237,2021-10-24,47291.416666666664,52136.833333333336,9116.666666666666,4845.416666666667,3196.5,39823.666666666664,3274.3958333333335,2019.2291666666667,2714.2291666666665,-1366.5208333333333,1108.8125,417.6875,-3476.8958333333335,91.555625,10,24,2021-10-24,10.159270833333325
238,2021-10-25,53073.833333333336,55476.625,8838.916666666666,2402.7916666666665,5895.208333333333,40742.5,2417.25,1363.5208333333333,3952.5833333333335,-509.0,1105.5625,433.5416666666667,-1891.9583333333333,137.15395833333335,10,25,2021-10-25,11.470729166666663
239,2021-10-26,53397.0625,56499.9375,8977.625,3102.875,5842.354166666667,41679.958333333336,2829.2916666666665,1383.0416666666667,3670.75,-366.1458333333333,1094.5416666666667,448.625,-2735.2083333333335,133.62229166666665,10,26,2021-10-26,12.659166666666664
240,2021-10-27,53587.895833333336,57506.833333333336,8896.666666666666,3918.9375,5601.6875,43008.479166666664,2214.9583333333335,1797.6666666666667,3766.7291666666665,-419.0625,1117.3125,460.8958333333333,-3497.75,126.83395833333333,10,27,2021-10-27,11.777604166666668
241,2021-10-28,53578.229166666664,61702.520833333336,12662.479166666666,8124.291666666667,5038.208333333333,44001.833333333336,6222.5625,1764.8125,3551.2916666666665,-487.5833333333333,1123.8125,470.1875,-7635.979166666667,114.15458333333333,10,28,2021-10-28,12.139270833333336
242,2021-10-29,52369.6875,60852.166666666664,14769.4375,8482.479166666666,3099.1666666666665,42983.5625,9517.625,880.5416666666666,3209.7083333333335,-846.9791666666666,1161.5625,461.1041666666667,-7635.6875,77.625625,10,29,2021-10-29,13.464999999999998
